#,BEER,BREWERY,LOCATION,STYLE,SIZE,ABV,IBUs,Type
870,Tocobaga Red Ale,Cigar City Brewing Company,"Tampa, FL",American Amber / Red Ale,12 oz.,7.20%,75,Ale
871,Tommyknocker Ornery Amber Lager (2003),Tommyknocker Brewery,"Idaho Springs, CO",Vienna Lager,12 oz.,5.50%,33,Lager
872,Tonganoxie Honey Wheat,High Noon Saloon And Brewery,"Leavenworth, KS",American Pale Wheat Ale,12 oz.,4.40%,22,Ale
873,Top Cutter India Pale Ale,Bale Breaker Brewing Company,"Moxee, WA",American IPA,12 oz.,6.80%,70,IPA
874,Top Rope Mexican-style Craft Lager,Upslope Brewing Company,"Boulder, CO",Vienna Lager,12 oz.,4.80%,15,Lager
875,Torpedo,Sierra Nevada Brewing Company,"Chico, CA",American IPA,16 oz.,7.20%,65,IPA
876,Tour de Nez Belgian IPA (Current),Buckbean Brewing Company,"Reno, NV",Belgian IPA,16 oz.,8%,N/A,IPA
877,Toxic Sludge,Blue Point Brewing Company,"Patchogue, NY",American Black Ale,16 oz.,7%,N/A,Ale
878,Trailhead India Style Session Ale,Two Beers Brewing Company,"Seattle, WA",American IPA,12 oz.,4.80%,48,IPA
879,Trebuchet Double IPA,Brewery Vivant,"Grand Rapids, MI",Belgian IPA,16 oz.,9.70%,N/A,IPA
880,Triangle Belgian Golden Ale,Triangle Brewing Company,"Durham, NC",Belgian Strong Pale Ale,12 oz.,8%,N/A,Ale
881,Triangle India Pale Ale,Triangle Brewing Company,"Durham, NC",American IPA,12 oz.,5.70%,N/A,IPA
882,Triangle White Ale,Triangle Brewing Company,"Durham, NC",Witbier,12 oz.,5%,N/A,Other
883,Trigger Blonde Ale,Crabtree Brewing Company,"Greeley, CO",American Blonde Ale,16 oz.,4.80%,N/A,Ale
884,Triomphe,Brewery Vivant,"Grand Rapids, MI",Belgian IPA,16 oz.,6.50%,N/A,IPA
885,True Blonde Ale,Ska Brewing Company,"Durango, CO",American Blonde Ale,12 oz.,5.30%,N/A,Ale
886,Tule Duck Red Ale (Current),Buckbean Brewing Company,"Reno, NV",American Amber / Red Ale,16 oz.,6.20%,42,Ale
887,Tumbleweed IPA,Lewis and Clark Brewing Company,"Helena, MT",American IPA,12 oz.,5.70%,N/A,IPA
888,Twister Creek India Pale Ale,Denali Brewing Company,"Talkeetna, AK",American IPA,12 oz.,6.50%,71,IPA
889,U.S. Pale Ale,Capital Brewery,"Middleton, WI",American Pale Ale (APA),12 oz.,5%,N/A,Ale
890,UFO White,Harpoon Brewery,"Boston, MA",American Pale Wheat Ale,12 oz.,4.80%,10,Ale
891,Underachiever,Engine House 9,"Tacoma, WA",American Adjunct Lager,16 oz.,5%,N/A,Lager
892,Underdog Atlantic Lager,Flying Dog Brewery,"Frederick, MD",American Pale Lager,12 oz.,4.70%,28,Lager
893,Undun Blonde Ale,Natian Brewery,"Portland, OR",American Blonde Ale,16 oz.,5.30%,N/A,Ale
